FWT_CONS 
swl_list 	
swl_08_08 	CONS_CONS 	Fan: 	CONS	CONS	MAX	instructions 	
swl_08_12 	CONS_CONS 	Fan: 	CONS	CONS	MAX	instructions 	
swl_08_16 	CONS_CONS 	Fan: 	CONS	CONS	MAX	instructions 	
swl_08_20 	CONS_CONS 	Fan: 	CONS	CONS	MAX	instructions 	
swl_08_24 	CONS_CONS 	Fan: 	CONS	CONS	MAX	instructions 	
swl_12_01 	CONS_CONS 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_12_02 	CONS_CONS 	Fan: 	CONS	CONS	MAX	instructions 	
swl_12_04 	CONS_CONS 	Fan: 	CONS	CONS	MAX	instructions 	
swl_12_08 	CONS_CONS 	Fan: 	CONS	CONS	MAX	instructions 	
swl_12_12 	CONS_CONS 	Fan: 	CONS	CONS	MAX	instructions 	
swl_12_16 	CONS_CONS 	Fan: 	CONS	CONS	MAX	instructions 	
swl_12_20 	CONS_CONS 	Fan: 	CONS	CONS	MAX	instructions 	
swl_12_24 	CONS_CONS 	Fan: 	CONS	CONS	MAX	instructions 	
swl_16_01 	CONS_CONS 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_16_02 	CONS_CONS 	Fan: 	CONS	CONS	MAX	instructions 	
swl_16_04 	CONS_CONS 	Fan: 	CONS	CONS	MAX	instructions 	
swl_16_08 	CONS_CONS 	Fan: 	CONS	CONS	MAX	instructions 	
swl_16_12 	CONS_CONS 	Fan: 	CONS	CONS	MAX	instructions 	
swl_16_16 	CONS_CONS 	Fan: 	CONS	CONS	MAX	instructions 	
swl_16_20 	CONS_CONS 	Fan: 	CONS	CONS	MAX	instructions 	
swl_16_24 	CONS_CONS 	Fan: 	CONS	CONS	MAX	instructions 	
swl_20_01 	CONS_CONS 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_20_02 	CONS_CONS 	Fan: 	CONS	CONS	MAX	instructions 	
swl_20_04 	CONS_CONS 	Fan: 	CONS	CONS	MAX	instructions 	
swl_20_08 	CONS_CONS 	Fan: 	CONS	CONS	MAX	instructions 	
swl_20_12 	CONS_CONS 	Fan: 	CONS	CONS	MAX	instructions 	
swl_20_16 	CONS_CONS 	Fan: 	CONS	CONS	MAX	instructions 	
swl_20_20 	CONS_CONS 	Fan: 	CONS	CONS	MAX	instructions 	
swl_20_24 	CONS_CONS 	Fan: 	CONS	CONS	MAX	instructions 	
swl_24_01 	CONS_CONS 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_24_02 	CONS_CONS 	Fan: 	CONS	CONS	MAX	instructions 	
swl_24_04 	CONS_CONS 	Fan: 	CONS	CONS	MAX	instructions 	
swl_24_08 	CONS_CONS 	Fan: 	CONS	CONS	MAX	instructions 	
swl_24_12 	CONS_CONS 	Fan: 	CONS	CONS	MAX	instructions 	
swl_24_16 	CONS_CONS 	Fan: 	CONS	CONS	MAX	instructions 	
swl_24_20 	CONS_CONS 	Fan: 	CONS	CONS	MAX	instructions 	
swl_24_24 	CONS_CONS 	Fan: 	CONS	CONS	MAX	instructions 	



LUD_LUD 
swl_list 	
swl_01_01 	LUD_LUD 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_01_02 	LUD_LUD 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
