BLK_BLK 
swl_list 	Benchmarks 	App1 	App2 	AloneIPC1	AloneIPC2	IPC1	IPC2	SD1	SD2	WS	IT	FI	Stall warps-1	Stall warps-2	Stall Dramfull	Stall icnt2sh	App1-BW 	App2-BW	Waste-BW 	Idle-BW 	RBL-1 	RBL-2 	AVGEMFLat-1 	AVGEMFLat-2 	AVGEMRQLat-1 	AVGEMRQLat-2 	MPKI-1 	MPKI-2 	L2MR-1	L2MR-2	L2MR	
swl_04_24 	BLK_BLK 	BLK 	BLK 	346.9499	346.9499	167.2082 	184.6287 	0.481937593871622 	0.532148013301056 	1.01408560717268	351.8369 	1.10418448377532 	2929981 	24456593 	7246356 	5960	0.377 	0.4235 	0.196666666666667 	0.002 	1.525564 	1.468256 	1333 	1543 	119 	117 	1.59621100556048 	1.79487609060211 	1.000 	0.999 	0.999 	 	
swl_08_01 	BLK_BLK 	BLK 	BLK 	346.9499	346.9499	283.1833 	59.2594 	0.816208046176119 	0.170801029197587 	0.987009075373707	342.4427 	4.77870683807126 	42822571 	5471 	12884414 	14852	0.646166666666667 	0.134 	0.210666666666667 	0.00916666666666667 	1.547626 	1.553012 	1138 	857 	114 	116 	1.9288505221324 	1.59617014373556 	1.000 	1.000 	1.000 	 	
swl_08_02 	BLK_BLK 	BLK 	BLK 	346.9499	346.9499	239.8391 	110.4583 	0.691278769643686 	0.318369597454849 	1.00964836709854	350.2974 	2.17130899171905 	27572298 	40815 	8667324 	7999	0.5455 	0.249 	0.203 	0.00283333333333333 	1.519218 	1.552031 	1299 	955 	116 	117 	1.74634756577937 	1.59617525146367 	0.999 	1.000 	1.000 	 	
swl_08_04 	BLK_BLK 	BLK 	BLK 	346.9499	346.9499	182.5677 	167.7725 	0.526207674364512 	0.483564053484379 	1.00977172784889	350.3402 	1.08818608532388 	21312219 	3169048 	6744715 	4810	0.420166666666667 	0.379 	0.198 	0.00316666666666667 	1.487060 	1.535610 	1501 	1310 	118 	119 	1.7734696020712 	1.59616503600744 	0.999 	1.000 	0.999 	 	
swl_08_08 	BLK_BLK 	BLK 	BLK 	346.9499	346.9499	175.0028 	174.9836 	0.504403661739058 	0.504348322337029 	1.00875198407609	349.9864 	1.00010972456847 	21566272 	21496855 	6359841 	4255	0.395 	0.395 	0.197833333333333 	0.0121666666666667 	1.448643 	1.452123 	1553 	1553 	117 	118 	1.59621100556048 	1.59616503600744 	1.000 	1.000 	1.000 	 	
swl_08_12 	BLK_BLK 	BLK 	BLK 	346.9499	346.9499	174.5573 	175.5726 	0.503119614676355 	0.506045973784688 	1.00916558846104	350.1299 	1.00581642818719 	21659734 	23384454 	6483566 	5444	0.394 	0.3965 	0.198833333333333 	0.0106666666666667 	1.451777 	1.451670 	1559 	1577 	118 	117 	1.59621100556048 	1.60914377314822 	1.000 	0.999 	0.999 	 	
swl_08_16 	BLK_BLK 	BLK 	BLK 	346.9499	346.9499	172.7575 	176.8104 	0.497932122188247 	0.509613635859241 	1.00754575804749	349.5679 	1.02346005238557 	21662379 	23949380 	6552521 	5500	0.39 	0.404666666666667 	0.198333333333333 	0.0065 	1.452529 	1.472446 	1551 	1563 	117 	118 	1.59621100556048 	1.66048154843434 	1.000 	0.999 	0.999 	 	
swl_08_20 	BLK_BLK 	BLK 	BLK 	346.9499	346.9499	171.9563 	176.8086 	0.495622855057748 	0.509608447790301 	1.00523130284805	348.7649 	1.02821821590718 	21715617 	24111213 	6639110 	5146	0.388 	0.407333333333333 	0.198166666666667 	0.00633333333333333 	1.452505 	1.477606 	1554 	1562 	117 	118 	1.59621100556048 	1.67796530177275 	1.000 	0.999 	0.999 	 	
swl_08_24 	BLK_BLK 	BLK 	BLK 	346.9499	346.9499	173.6183 	176.6193 	0.500413172045878 	0.509062835873421 	1.0094760079193	350.2376 	1.01728504426089 	21608395 	23878428 	6593538 	5336	0.392 	0.403 	0.1985 	0.00666666666666667 	1.452404 	1.473936 	1550 	1559 	117 	118 	1.59621100556048 	1.64502556315767 	1.000 	0.999 	0.999 	 	
swl_12_01 	BLK_BLK 	BLK 	BLK 	346.9499	346.9499	284.7469 	60.0820 	0.820714748728851 	0.173171976703265 	0.993886725432116	344.8289 	4.7393046170234 	58317753 	4880 	13028570 	13485	0.648 	0.136 	0.208166666666667 	0.00833333333333333 	1.488120 	1.500569 	1165 	854 	114 	115 	1.90734315597122 	1.5961854669199 	1.000 	1.000 	1.000 	 	
swl_12_02 	BLK_BLK 	BLK 	BLK 	346.9499	346.9499	240.2327 	109.0728 	0.69241322738528 	0.314376225501146 	1.00678945288643	349.3055 	2.20249869811722 	34161819 	35485 	8705686 	7698	0.548 	0.246 	0.202833333333333 	0.00316666666666667 	1.482355 	1.537511 	1314 	960 	117 	117 	1.77784181733784 	1.59619057464802 	0.999 	1.000 	1.000 	 	
swl_12_04 	BLK_BLK 	BLK 	BLK 	346.9499	346.9499	183.7691 	165.6366 	0.529670422156052 	0.477407833234712 	1.00707825539076	349.4057 	1.10947157814155 	24143878 	3326668 	7101547 	5422	0.424833333333333 	0.374 	0.198 	0.003 	1.465053 	1.524581 	1518 	1322 	118 	119 	1.81631833322982 	1.59619568237613 	0.999 	1.000 	0.999 	 	
swl_12_08 	BLK_BLK 	BLK 	BLK 	346.9499	346.9499	176.8572 	170.9890 	0.509748525651686 	0.492834844454487 	1.00258337010617	347.8462 	1.03431916673002 	23772744 	21721826 	6933071 	5195	0.408833333333333 	0.386 	0.199 	0.00616666666666667 	1.474924 	1.453320 	1577 	1576 	118 	117 	1.69358984207722 	1.5961854669199 	0.999 	1.000 	0.999 	 	
swl_12_12 	BLK_BLK 	BLK 	BLK 	346.9499	346.9499	175.1113 	175.2067 	0.504716387005732 	0.504991354659563 	1.0097077416653	350.318 	1.00054479636665 	23553944 	23434361 	6494167 	4410	0.395 	0.395 	0.197666666666667 	0.0118333333333333 	1.441626 	1.443893 	1585 	1582 	117 	117 	1.59621100556048 	1.59617525146367 	1.000 	1.000 	1.000 	 	
swl_12_16 	BLK_BLK 	BLK 	BLK 	346.9499	346.9499	174.9878 	175.4323 	0.504360427831223 	0.505641592633403 	1.01000202046463	350.4201 	1.00254017708663 	23502063 	23858800 	6249351 	5158	0.395 	0.396 	0.198 	0.011 	1.441560 	1.450520 	1571 	1570 	117 	117 	1.59621100556048 	1.60354570313394 	1.000 	0.999 	0.999 	 	
swl_12_20 	BLK_BLK 	BLK 	BLK 	346.9499	346.9499	173.7715 	175.5586 	0.5008547343579 	0.506005622137375 	1.00686035649527	349.3301 	1.01028419504925 	23471269 	23925151 	6602645 	5210	0.392 	0.398 	0.198666666666667 	0.0108333333333333 	1.441868 	1.462329 	1590 	1584 	117 	117 	1.59621100556048 	1.62522800898306 	1.000 	0.999 	0.999 	 	
swl_12_24 	BLK_BLK 	BLK 	BLK 	346.9499	346.9499	175.1528 	175.8205 	0.504836000817409 	0.506760486168176 	1.01159648698559	350.9733 	1.00381210006349 	23463857 	23781657 	6400430 	5544	0.395 	0.397 	0.198 	0.0095 	1.441821 	1.453067 	1584 	1580 	117 	117 	1.59621100556048 	1.60803028841911 	1.000 	0.999 	0.999 	 	
swl_16_01 	BLK_BLK 	BLK 	BLK 	346.9499	346.9499	282.6583 	60.7769 	0.814694859401891 	0.175174859540239 	0.98986971894213	343.4352 	4.65075217722523 	59190955 	5694 	12425304 	13612	0.642 	0.137 	0.2095 	0.0111666666666667 	1.480735 	1.524302 	1164 	849 	114 	114 	1.86865977709057 	1.5961854669199 	1.000 	1.000 	1.000 	 	
swl_16_02 	BLK_BLK 	BLK 	BLK 	346.9499	346.9499	240.4111 	109.2302 	0.692927422662465 	0.314829893307362 	1.00775731596983	349.6413 	2.20095815992281 	35036306 	33698 	8600491 	8248	0.548333333333333 	0.247 	0.202666666666667 	0.00266666666666667 	1.476886 	1.521000 	1313 	963 	116 	117 	1.77594174247897 	1.59619057464802 	0.999 	1.000 	1.000 	 	
swl_16_04 	BLK_BLK 	BLK 	BLK 	346.9499	346.9499	185.1182 	165.2428 	0.533558879826742 	0.476272799041014 	1.00983167886776	350.361 	1.12027997589002 	24776965 	3301500 	7170104 	6355	0.426 	0.373 	0.198 	0.003 	1.466001 	1.537628 	1533 	1345 	117 	121 	1.82555310566214 	1.59619568237613 	0.999 	1.000 	0.999 	 	
swl_16_08 	BLK_BLK 	BLK 	BLK 	346.9499	346.9499	176.3890 	173.5260 	0.508399051275127 	0.500147139399665 	1.00854619067479	349.915 	1.0164989684543 	23809039 	21536346 	6793651 	5848	0.402 	0.392 	0.198833333333333 	0.00733333333333333 	1.466626 	1.453233 	1584 	1569 	118 	117 	1.6416800012422 	1.59619568237613 	0.999 	1.000 	0.999 	 	
swl_16_12 	BLK_BLK 	BLK 	BLK 	346.9499	346.9499	175.5788 	173.2936 	0.506063843799926 	0.499477302054274 	1.0055411458542	348.8724 	1.01318686898997 	23987445 	23574088 	6348779 	5434	0.399 	0.391 	0.199833333333333 	0.00966666666666667 	1.461804 	1.446366 	1564 	1568 	117 	116 	1.63232264333511 	1.5961854669199 	0.999 	1.000 	0.999 	 	
swl_16_16 	BLK_BLK 	BLK 	BLK 	346.9499	346.9499	175.6045 	174.7816 	0.50613791789535 	0.503766105711516 	1.00990402360687	350.3861 	1.00470816149984 	23762210 	23783115 	6204939 	5226	0.396 	0.395 	0.197666666666667 	0.0113333333333333 	1.447658 	1.444667 	1564 	1569 	117 	116 	1.60671249456538 	1.59616503600744 	0.999 	1.000 	0.999 	 	
swl_16_20 	BLK_BLK 	BLK 	BLK 	346.9499	346.9499	174.9074 	174.8392 	0.504128694085227 	0.503932123917603 	1.00806081800283	349.7466 	1.00039007270681 	23776917 	23788488 	6219821 	4347	0.395 	0.395 	0.198333333333333 	0.0121666666666667 	1.442908 	1.445163 	1579 	1578 	116 	117 	1.59621100556048 	1.59617014373556 	1.000 	1.000 	1.000 	 	
swl_16_24 	BLK_BLK 	BLK 	BLK 	346.9499	346.9499	175.1246 	174.6774 	0.504754721070679 	0.503465774165088 	1.00822049523577	349.802 	1.00256014802144 	23939536 	23819839 	6087962 	5853	0.396 	0.394 	0.198833333333333 	0.0111666666666667 	1.446948 	1.445077 	1555 	1559 	116 	116 	1.60359167268698 	1.59616503600744 	0.999 	1.000 	0.999 	 	
swl_20_01 	BLK_BLK 	BLK 	BLK 	346.9499	346.9499	284.1590 	60.5582 	0.819020267767767 	0.174544509164003 	0.99356477693177	344.7172 	4.69232903223676 	59736699 	5010 	12499252 	14117	0.644666666666667 	0.137 	0.208833333333333 	0.00966666666666667 	1.481897 	1.513326 	1161 	855 	113 	115 	1.88306995503565 	1.59619568237613 	1.000 	1.000 	1.000 	 	
swl_20_02 	BLK_BLK 	BLK 	BLK 	346.9499	346.9499	243.2874 	108.4224 	0.701217668602873 	0.312501603257416 	1.01371927186029	351.7098 	2.2438850274482 	35337740 	31638 	9478255 	8834	0.5535 	0.245 	0.1995 	0.00233333333333333 	1.479209 	1.505573 	1332 	990 	117 	118 	1.80662131140306 	1.59619568237613 	0.999 	1.000 	1.000 	 	
swl_20_04 	BLK_BLK 	BLK 	BLK 	346.9499	346.9499	184.9704 	165.1093 	0.53313288172154 	0.475888017261282 	1.00902089898282	350.0797 	1.12029061960774 	24843102 	3095414 	7329807 	5981	0.4265 	0.373 	0.198166666666667 	0.003 	1.471018 	1.517227 	1537 	1340 	118 	120 	1.83029818508118 	1.59619568237613 	0.999 	1.000 	0.999 	 	
swl_20_08 	BLK_BLK 	BLK 	BLK 	346.9499	346.9499	176.9550 	171.7617 	0.510030410730771 	0.4950619671601 	1.00509237789087	348.7167 	1.03023549487459 	24169099 	21788328 	6571594 	7125	0.407666666666667 	0.388 	0.199166666666667 	0.00533333333333333 	1.475204 	1.449891 	1561 	1556 	117 	117 	1.68261844208572 	1.59619568237613 	0.999 	1.000 	0.999 	 	
swl_20_12 	BLK_BLK 	BLK 	BLK 	346.9499	346.9499	175.4212 	173.9613 	0.505609599541605 	0.50140178740504 	1.00701138694665	349.3825 	1.00839209640305 	23903768 	23553547 	6419801 	6817	0.398 	0.393 	0.199333333333333 	0.0103333333333333 	1.458880 	1.441798 	1571 	1576 	117 	117 	1.62004877267423 	1.5961854669199 	0.999 	1.000 	0.999 	 	
swl_20_16 	BLK_BLK 	BLK 	BLK 	346.9499	346.9499	175.1714 	175.0530 	0.504889610863125 	0.504548351217279 	1.0094379620804	350.2244 	1.00067636658612 	23851440 	23798527 	6292107 	4455	0.395 	0.395 	0.199333333333333 	0.0106666666666667 	1.442244 	1.441822 	1587 	1589 	116 	117 	1.59621611328859 	1.59617014373556 	1.000 	1.000 	1.000 	 	
swl_20_20 	BLK_BLK 	BLK 	BLK 	346.9499	346.9499	175.4483 	174.4057 	0.505687708801761 	0.502682663981168 	1.00837037278293	349.854 	1.00597801562678 	23905475 	23894748 	6066167 	4958	0.397 	0.394 	0.198166666666667 	0.0111666666666667 	1.450667 	1.443218 	1558 	1565 	117 	116 	1.61244847323877 	1.59616503600744 	0.999 	1.000 	0.999 	 	
swl_20_24 	BLK_BLK 	BLK 	BLK 	346.9499	346.9499	175.7477 	173.3739 	0.506550657602149 	0.499708747574217 	1.00625940517637	349.1216 	1.01369179559322 	24079641 	23849723 	6222543 	5804	0.4 	0.391 	0.1985 	0.00983333333333333 	1.463413 	1.443106 	1553 	1563 	117 	116 	1.63526469472948 	1.59617525146367 	0.999 	1.000 	0.999 	 	
swl_24_01 	BLK_BLK 	BLK 	BLK 	346.9499	346.9499	285.6666 	60.0424 	0.823365563731248 	0.17305783918658 	0.996423402917828	345.709 	4.75774785818022 	60308918 	4780 	12735653 	15104	0.6495 	0.136 	0.207 	0.00783333333333333 	1.483511 	1.486060 	1166 	858 	114 	114 	1.91275862470539 	1.59620079010425 	1.000 	1.000 	1.000 	 	
swl_24_02 	BLK_BLK 	BLK 	BLK 	346.9499	346.9499	240.7555 	109.2053 	0.693920073186359 	0.314758125020356 	1.00867819820672	349.9608 	2.20461369548914 	34982191 	34930 	8507442 	8254	0.549 	0.246666666666667 	0.202333333333333 	0.00233333333333333 	1.479514 	1.528291 	1306 	959 	116 	117 	1.77892465569826 	1.59620079010425 	0.999 	1.000 	1.000 	 	
swl_24_04 	BLK_BLK 	BLK 	BLK 	346.9499	346.9499	183.5799 	166.5773 	0.529125098465225 	0.480119175708078 	1.0092442741733	350.1572 	1.10207033011101 	24544723 	3208003 	6957122 	6952	0.4215 	0.376 	0.198833333333333 	0.00283333333333333 	1.468525 	1.535242 	1524 	1323 	116 	120 	1.79466667374938 	1.59620079010425 	0.999 	1.000 	0.999 	 	
swl_24_08 	BLK_BLK 	BLK 	BLK 	346.9499	346.9499	176.6355 	172.0990 	0.509109528493883 	0.496034153634285 	1.00514368212817	348.7345 	1.02635982777355 	24084635 	21642274 	6875848 	7570	0.405666666666667 	0.388 	0.199666666666667 	0.00583333333333333 	1.478707 	1.455365 	1576 	1566 	118 	117 	1.67160107254118 	1.59619568237613 	0.999 	1.000 	0.999 	 	
swl_24_12 	BLK_BLK 	BLK 	BLK 	346.9499	346.9499	175.3721 	175.1658 	0.505468080549958 	0.504873470204199 	1.01034155075416	350.5379 	1.00117774131708 	23827811 	23484674 	6371758 	5741	0.395 	0.395 	0.199 	0.0103333333333333 	1.443882 	1.445250 	1586 	1583 	116 	117 	1.59761563079216 	1.59619568237613 	0.999 	1.000 	1.000 	 	
swl_24_16 	BLK_BLK 	BLK 	BLK 	346.9499	346.9499	175.1774 	175.1160 	0.504906904426259 	0.504729933630187 	1.00963683805645	350.2934 	1.00035062472875 	23870612 	23872664 	6111980 	5897	0.395 	0.395 	0.198333333333333 	0.011 	1.445138 	1.445063 	1567 	1567 	116 	117 	1.59620079010425 	1.59618035919179 	1.000 	1.000 	1.000 	 	
swl_24_20 	BLK_BLK 	BLK 	BLK 	346.9499	346.9499	174.9087 	174.9520 	0.504132441023906 	0.504257242904523 	1.00838968392843	349.8607 	1.00024755772583 	23795501 	23878342 	6231603 	4239	0.395 	0.395 	0.199166666666667 	0.0113333333333333 	1.444564 	1.446388 	1576 	1576 	116 	117 	1.59619568237613 	1.5961854669199 	1.000 	1.000 	1.000 	 	
swl_24_24 	BLK_BLK 	BLK 	BLK 	346.9499	346.9499	175.4829 	175.5412 	0.505787435015834 	0.505955470804286 	1.01174290582012	351.0241 	1.00033222610294 	23899764 	23881401 	6104066 	4193	0.396 	0.396 	0.198166666666667 	0.00983333333333333 	1.445689 	1.447131 	1564 	1565 	117 	117 	1.59621100556048 	1.59617014373556 	1.000 	1.000 	1.000 	 	



BLK_BFS2 
swl_list 	Benchmarks 	App1 	App2 	AloneIPC1	AloneIPC2	IPC1	IPC2	SD1	SD2	WS	IT	FI	Stall warps-1	Stall warps-2	Stall Dramfull	Stall icnt2sh	App1-BW 	App2-BW	Waste-BW 	Idle-BW 	RBL-1 	RBL-2 	AVGEMFLat-1 	AVGEMFLat-2 	AVGEMRQLat-1 	AVGEMRQLat-2 	MPKI-1 	MPKI-2 	L2MR-1	L2MR-2	L2MR	
swl_01_01 	BLK_BFS2 	BLK 	BFS2 	346.9499	17.8703	113.4405 	12.2835 	0.326965074784573 	0.68736954611842 	1.01433462090299	125.724 	2.10227207468965 	26706 	9815 	217048 	3463183	0.256 	0.049 	0.309166666666667 	0.386 	2.672691 	2.151862 	341 	195 	46 	22 	1.59621100556048 	5.80728622520263 	1.000 	0.076 	0.292 	 	
swl_01_02 	BLK_BFS2 	BLK 	BFS2 	346.9499	17.8703	106.6052 	16.2073 	0.307263959436218 	0.906940566190831 	1.21420452562705	122.8125 	2.95166594824504 	22206 	46659 	2045405 	7044498	0.241 	0.0665 	0.344333333333333 	0.3485 	2.437562 	2.010427 	373 	246 	38 	22 	1.59621100556048 	4.24881976397822 	1.000 	0.067 	0.213 	 	
